file_name;time (s);sent (msg/s);received (msg/s);min (us);median (us);75th (us);95th (us);99th (us)
test-000938-881;76,001;60607;47203;74061571;74949865;75226559;75487454;75628594
test-000938-881;77,001;39342;52442;75101558;75959776;76239778;76485765;76592498
test-000938-881;78,001;14661;53597;76115369;76978055;77221993;77463330;77588187
test-000938-881;79,001;0;53886;77070402;77927159;78168434;78458950;78573946
test-000938-881;80,001;0;52693;78024071;78935154;79176172;79486598;79601594
test-000938-881;81,001;30207;52803;79037088;79962465;80221529;80478110;80573064
test-000938-881;82,001;11762;55241;80041043;80954618;81203008;81456483;81575246
test-000938-881;83,001;40526;51711;81036507;82008447;82236706;82500335;82626372
test-000938-881;84,001;22549;54959;82134459;82912876;83159603;83458203;83576212
test-000938-881;85,001;12255;57624;83169579;83950587;84212547;84499158;84608635
test-000938-881;86,001;5190;54900;84067844;84957819;85218500;85477207;85586033
test-000938-881;87,001;0;60531;85089598;85937188;86232137;86497898;86600582
test-000938-881;88,001;0;58825;85966630;86976327;87239833;87509801;87602484
test-000938-881;89,001;0;55959;87025179;87951376;88217544;88502630;88591336
test-000938-881;90,001;0;56293;88118735;88920969;89185431;89443466;89549912
test-000938-881;91,001;0;54623;88244540;89897438;90169422;90492795;90610250
test-000938-881;92,001;0;56074;88830466;90924556;91194367;91518292;91589586
test-000938-881;93,001;0;50778;89900316;91926421;92188932;92484012;92604893
test-000938-881;94,001;0;52626;90773008;92868573;93133999;93425247;93611169
test-000938-881;95,001;0;50338;91791411;93849795;94133791;94501184;94609067
test-000938-881;96,001;0;54151;92775027;94859207;95102020;95445825;95604398
test-000938-881;97,001;3083;53031;93781822;95828703;96091257;96479761;96581637
test-000938-881;98,001;4932;51641;94766002;96796149;97036661;97462675;97602245
test-000938-881;99,001;11308;48654;95794557;97809072;98091733;98437152;98557920
test-000938-881;100,001;1280;51960;96752620;98731801;99030997;99387631;99546295
test-000938-881;101,001;0;51693;97840026;99693847;99975073;100326325;100540107
test-000938-881;102,001;0;53805;98746937;100745351;101000597;101355387;101509908
test-000938-881;103,001;0;48547;99870253;101737267;101989959;102367242;102562564
test-000938-881;104,001;0;53242;100724085;102715039;102954052;103265235;103497697
test-000938-881;105,001;0;55633;101731778;103670267;103950582;104317884;104493062
test-000938-881;106,001;0;54410;102735056;104708666;104977511;105309432;105526195
test-000938-881;107,000;0;49239;103782168;105702360;106026351;106432462;106552014
test-000938-881;108,001;0;54093;104743173;106740432;107030222;107364525;107589586
test-000938-881;109,001;0;50884;105793156;107725371;107994334;108308226;108580301
test-000938-881;110,001;931;52492;106649914;108704103;109007024;109367042;109553976
test-000938-881;111,001;0;48064;107593092;109722509;110014188;110330381;110540559
test-000938-881;112,001;0;53167;108562781;110740812;111016295;111383776;111538585
test-000938-881;113,001;0;47100;109713148;111733086;111991616;112387268;112555571
test-000938-881;114,001;0;48228;110828812;112711782;112998917;113359882;113517587
test-000938-881;115,001;0;57644;111615578;113706278;113957355;114346366;114513993
test-000938-881;116,001;0;59161;112622799;114667831;114991479;115407108;115534828
test-000938-881;117,001;3064;51551;113729143;115693180;115953569;116266072;116487970
test-000938-881;118,001;3209;55507;114572199;116651629;116912120;117259234;117502177
test-000938-881;119,001;1922;59779;114924932;117647352;117946739;118393710;118540016
test-000938-881;120,001;0;58334;115209640;118524780;118843858;119281035;119507794
test-000938-881;121,001;0;56723;116032135;119535403;119862463;120261820;120515052
test-000938-881;122,001;0;54084;117098683;120450050;120817688;121240550;121464031
test-000938-881;123,001;616;60218;118023224;121471059;121808056;122230154;122464540
test-000938-881;124,001;0;56660;119018465;122451421;122828826;123248566;123528030
test-000938-881;125,001;1907;52514;120056981;123444540;123816716;124248341;124472314
test-000938-881;126,001;1547;57249;121123894;124379105;124716905;125142070;125465606
test-000938-881;127,001;2381;56217;122077502;125473439;125783990;126183897;126445665
test-000938-881;128,001;1233;51831;123029834;126263468;126660857;127079069;127374597
test-000938-881;129,001;5551;57329;124199016;127288326;127692980;128143356;128537958
test-000938-881;130,001;4320;57172;125055685;128279143;128706115;129122704;129420395
test-000938-881;131,001;2583;57008;126043363;129372570;129753965;130184898;130425061
test-000938-881;132,001;2142;60203;127054399;130389687;130749469;131104067;131293504
test-000938-881;133,001;1046;56635;128484342;131471055;131790546;132154312;132400816
test-000938-881;134,001;0;55467;129028780;132492338;132812063;133224271;133397133
test-000938-881;135,001;891;56317;130160764;133424567;133753751;134124948;134412753
test-000938-881;136,001;0;58762;132793499;134456135;134769883;135142563;135365106
test-000938-881;137,001;2706;58830;133548200;135477561;135807466;136250978;136443946
test-000938-881;138,001;0;55370;134618243;136508185;136778970;137235972;137401395
test-000938-881;139,001;3572;54718;134193177;137435949;137771559;138132478;138361358
test-000938-881;140,001;0;53944;135290494;138486760;138798037;139170802;139459515
test-000938-881;141,001;6840;55852;136063779;139436123;139752135;140143684;140421669
test-000938-881;142,001;3058;55184;137083375;140397810;140757602;141127099;141365819
test-000938-881;143,001;0;58638;139470279;141318367;141747692;142118836;142414631
test-000938-881;144,001;0;58973;139649920;142277927;142650478;143051756;143299225
test-000938-881;145,001;0;57609;140046945;143221589;143632896;144034539;144377714
test-000938-881;146,001;0;56288;141411246;144101295;144561613;145049119;145279694
test-000938-881;147,001;616;60095;142197720;145144633;145557360;145875252;146115034
test-000938-881;148,001;0;56911;143059905;145984482;146456655;146952469;147233793
test-000938-881;149,001;0;53907;144033667;146788316;147341664;147845691;148201235
test-000938-881;150,001;0;56850;145016906;147657561;148352914;148824011;149039574
test-000938-881;151,001;0;56742;146026114;148567677;149378229;149817824;150027556
test-000938-881;152,001;0;56124;147024162;149501279;150328286;150894516;151095136
test-000938-881;153,001;0;57085;148038232;150622857;151385913;151837790;152137925
test-000938-881;154,001;0;57111;149025499;151523896;152183689;152817953;153095358
test-000938-881;155,001;0;57515;150027831;152465369;153234040;153925527;154217062
test-000938-881;156,001;0;55332;151055086;153526895;154307150;154819525;155113983
test-000938-881;157,001;0;57437;152250811;154863189;155426438;155885909;156156132
test-000938-881;158,001;0;51005;153040280;155520454;156379204;156811891;157072011
test-000938-881;159,001;616;50370;154169704;157034072;157516479;157863528;158165451
test-000938-881;160,001;0;59945;155033937;158151639;158505619;158844507;158968229
test-000938-881;161,001;616;59314;157004221;159133840;159502974;159844798;160117257
test-000938-881;162,001;5640;52658;157116844;160248192;160559523;160886883;161146347
test-000938-881;163,001;1233;53837;157878052;161062730;161466151;161840721;162048885
test-000938-881;164,001;617;50762;158806351;162084412;162491567;162840854;163077791
test-000938-881;165,001;0;53420;159909096;163073954;163472648;163931952;164172808
test-000938-881;166,001;0;51588;160851057;164055354;164464687;164821499;165021531
test-000938-881;167,001;1399;54243;161800356;164956903;165385942;165794635;166060041
test-000938-881;168,001;731;52028;162800410;165844579;166364029;166882599;167079669
test-000938-881;169,001;0;48463;163848926;166945732;167477683;167822704;168126091
test-000938-881;170,001;1262;53670;165099595;167927795;168431728;168820047;169000908
test-000938-881;171,001;0;55984;165866552;168821014;169342551;169725247;169923870
test-000938-881;172,001;2410;57102;167055335;169878810;170336848;170752604;170921082
test-000938-881;173,001;0;55247;168028947;170741286;171162786;171717193;171931818
test-000938-881;174,001;616;55628;169008183;171627775;172284033;172709210;172946651
test-000938-881;175,001;0;60833;169982517;172399070;173063508;173619043;173831452
test-000938-881;176,001;2542;56615;171003435;173428299;174111263;174644554;174892982
test-000938-881;177,001;3211;60143;171974975;174236564;174890854;175604500;175861769
